form	lemma	POS
en	en	ADP
termes	terme	NOUN
concrets	concret	ADJ
le	le	DET
problème	problème	NOUN
à	à	ADP
résoudre	résoudre	VERB
,	,	PUNCT
et	et	CCONJ
de	de	ADP
mettre	mettre	VERB
aussi	aussi	ADV
sous	sous	ADP
nos	notre	DET
yeux	oeil	NOUN
les	le	DET
éléments	élément	NOUN
de	de	ADP
la	le	DET
solution	solution	NOUN
.	.	PUNCT
Elle	lui	PRON
matérialise	matérialis	ADJ
,	,	PUNCT
pour	pour	ADP
ainsi	ainsi	ADV
dire	dire	VERB
,	,	PUNCT
la	le	DET
difficulté	difficulter	VERB
.	.	PUNCT
C'	ce	PRON
est	être	VERB
d'	de	ADP
elle	lui	PRON
que	que	SCONJ
le	le	DET
philosophe	philosophe	NOUN
doit	devoir	VERB
partir	partir	VERB
,	,	PUNCT
c'	ce	PRON
est	être	AUX
à	à	ADP
elle	lui	PRON
qu'	que	SCONJ
il	il	PRON
devra	devoir	VERB
constamment	constamment	ADV
se	se	PRON
reporter	reporter	VERB
,	,	PUNCT
s'	s'	SCONJ
il	il	PRON
veut	vouloir	VERB
saisir	saisir	VERB
le	le	DET
sens	sens	NOUN
véritable	véritable	ADJ
des	de	ADP
considérations	considération	NOUN
de	de	ADP
temps	temps	NOUN
dans	dans	ADP
la	le	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
Relativité	relativité	NOUN
.	.	PUNCT
Combien	combien	ADV
de	de	ADP
fois	fois	NOUN
ne	ne	ADV
l'	l'	PRON
a	avoir	AUX
-t	t	PART
-on	on	PRON
pas	pas	ADV
décrite	décrire	ADJ
et	et	CCONJ
commentée	commenter	VERB
!	!	PUNCT
Pourtant	pourtant	ADV
il	il	PRON
faut	falloir	VERB
que	que	SCONJ
nous	nous	PRON
la	le	DET
commentions	commention	NOUN
,	,	PUNCT
que	que	SCONJ
nous	nous	PRON
la	le	PRON
décrivions	décrire	VERB
même	même	ADV
encore	encore	ADV
,	,	PUNCT
parce	parce	SCONJ
que	que	SCONJ
nous	nous	PRON
n'	n'	ADV
allons	aller	VERB
pas	pas	ADV
adopter	adopter	VERB
d'	de	ADP
emblée	emblée	NOUN
,	,	PUNCT
comme	comme	SCONJ
on	on	PRON
le	le	PRON
fait	fait	NOUN
d'	de	ADP
ordinaire	ordinaire	NOUN
,	,	PUNCT
l'	le	DET
interprétation	interprétation	NOUN
qu'	qu'	PRON
en	en	PRON
donne	donne	VERB
aujourd'hui	aujourd'hui	ADV
la	le	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
Relativité	relativité	NOUN
.	.	PUNCT
Nous	nous	PRON
voulons	vouloir	VERB
ménager	ménager	VERB
toutes	tout	ADJ
