form	lemma	POS
que	que	SCONJ
les	le	DET
danseurs	danseur	NOUN
nous	nous	PRON
paraissent	paraître	VERB
aussitôt	aussitôt	ADV
ridicules	ridicule	ADJ
.	.	PUNCT
Combien	combien	ADV
d'	de	ADP
actions	action	NOUN
humaines	humain	ADJ
résisteraient	résister	VERB
à	à	ADP
une	un	DET
épreuve	épreuve	NOUN
de	de	ADP
ce	ce	DET
genre	genre	NOUN
?	?	PUNCT
et	et	CCONJ
ne	ne	ADV
verrions	voir	VERB
-nous	nous	PRON
pas	pas	ADV
beaucoup	beaucoup	ADV
d'	de	ADP
entre	entre	ADP
elles	lui	PRON
passer	passer	VERB
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
du	de	DET
grave	grave	NOUN
au	au	DET
plaisant	plaisant	NOUN
,	,	PUNCT
si	si	SCONJ
nous	nous	PRON
les	le	DET
isolions	isolion	NOUN
de	de	ADP
la	le	DET
musique	musique	NOUN
de	de	ADP
sentiment	sentiment	NOUN
qui	qui	PRON
les	le	DET
accompagne	accompagne	NOUN
?	?	PUNCT
Le	le	DET
comique	comique	NOUN
exige	exiger	VERB
donc	donc	ADV
enfin	enfin	ADV
,	,	PUNCT
pour	pour	ADP
produire	produire	VERB
tout	tout	ADJ
son	son	DET
effet	effet	NOUN
,	,	PUNCT
quelque	quelque	DET
chose	chose	NOUN
comme	comme	ADP
une	un	DET
anesthésie	anesthésie	NOUN
momentanée	momentanée	NOUN
du	de	DET
cœur	cœur	PROPN
.	.	PUNCT
Il	il	PRON
s'	se	PRON
adresse	adresse	VERB
à	à	ADP
l'	le	DET
intelligence	intelligence	NOUN
pure	pur	NOUN
.	.	PUNCT
"
"	"
"	SPACE
Seulement	seulement	ADV
,	,	PUNCT
cette	ce	DET
intelligence	intelligence	NOUN
doit	devoir	VERB
rester	rester	VERB
en	en	ADP
contact	contact	NOUN
avec	avec	ADP
d'	d'	DET
autres	autre	ADJ
intelligences	intelligence	NOUN
.	.	PUNCT
Voilà	voilà	VERB
le	le	DET
troisième	troisième	ADJ
fait	fait	NOUN
sur	sur	ADP
lequel	lequel	PRON
nous	nous	PRON
désirions	désirer	VERB
attirer	attirer	VERB
l'	le	DET
attention	attention	NOUN
.	.	PUNCT
On	on	PRON
ne	ne	ADV
goûterait	goûter	VERB
pas	pas	ADV
le	le	DET
comique	comique	NOUN
si	si	SCONJ
l'	le	DET
on	on	PRON
se	se	PRON
sentait	sentir	VERB
isolé	isolé	ADV
.	.	PUNCT
Il	il	PRON
semble	semble	VERB
que	que	SCONJ
le	le	DET
rire	rire	NOUN
ait	ait	NOUN
besoin	besoin	NOUN
d'	de	ADP
un	un	DET
écho	écho	NOUN
.	.	PUNCT
