form	lemma	POS
présenter	présenter	VERB
l'	le	DET
empreinte	empreinte	NOUN
fidèle	fidèle	NOUN
,	,	PUNCT
ayant	avoir	AUX
été	être	AUX
clichée	clicher	VERB
sur	sur	ADP
cet	ce	DET
objet	objet	NOUN
particulier	particulier	ADJ
.	.	PUNCT
Elle	lui	PRON
ne	ne	ADV
devient	devenir	VERB
relative	relatif	ADJ
que	que	SCONJ
si	si	SCONJ
elle	lui	PRON
prétend	prétendre	VERB
,	,	PUNCT
telle	tel	ADJ
qu'	que	SCONJ
elle	lui	PRON
est	être	AUX
,	,	PUNCT
nous	nous	PRON
représenter	représenter	VERB
la	le	DET
vie	vie	NOUN
,	,	PUNCT
c'	ce	PRON
est	est	ADV
-	-	ADV
à	à	ADV
-	-	ADV
dire	dire	VERB
le	le	DET
clicheur	clicheur	NOUN
qui	qui	PRON
a	avoir	AUX
pris	prendre	VERB
l'	le	DET
empreinte	empreinte	NOUN
.	.	PUNCT
"
"	"
"	SPACE
Faut	falloir	VERB
-il	il	PRON
donc	donc	ADV
renoncer	renoncer	VERB
à	à	ADP
approfondir	approfondir	NOUN
la	le	DET
nature	nature	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
?	?	PUNCT
Faut	falloir	VERB
-il	il	PRON
s'	se	PRON
en	en	PRON
tenir	tenir	VERB
à	à	ADP
la	le	DET
représentation	représentation	NOUN
mécanistique	mécanistiqu	ADJ
que	que	SCONJ
l'	le	DET
entendement	entendement	NOUN
nous	nous	PRON
en	en	PRON
donnera	donner	VERB
toujours	toujours	ADV
,	,	PUNCT
représentation	représentation	NOUN
nécessairement	nécessairement	ADV
artificielle	artificiel	ADJ
et	et	CCONJ
symbolique	symbolique	ADJ
,	,	PUNCT
puisqu'	puisque	SCONJ
elle	lui	PRON
rétrécit	rétrécir	VERB
l'	le	DET
activité	activité	NOUN
totale	total	ADJ
de	de	ADP
la	le	DET
vie	vie	NOUN
à	à	ADP
la	le	DET
forme	forme	NOUN
d'	de	ADP
une	un	DET
certaine	certain	ADJ
activité	activité	NOUN
humaine	humain	ADJ
,	,	PUNCT
laquelle	lequel	PRON
n'	n'	ADV
est	être	VERB
qu'	qu'	ADV
une	un	DET
manifestation	manifestation	NOUN
partielle	partiel	ADJ
et	et	CCONJ
locale	local	ADJ
de	de	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCT
un	un	DET
effet	effet	NOUN
ou	ou	CCONJ
un	un	DET
résidu	résidu	NOUN
de	de	ADP
l'	le	DET
opération	opération	NOUN
vitale	vital	ADJ
?	?	PUNCT
"
"	"
"	SPACE
Il	il	PRON
le	le	PRON
faudrait	faudrait	NOUN
,	,	PUNCT
si	si	SCONJ
la	le	DET
vie	vie	NOUN
avait	avoir	AUX
employé	employer	VERB
tout	tout	ADJ
ce	ce	PRON
qu'	qu'	PRON
elle	lui	PRON
renferme	renferme	VERB
de	de	ADP
virtualités	virtualité	NOUN
psychiques	psychique	ADJ
à	à	ADP
faire	faire	VERB
de	de	ADP
purs	pur	NOUN
entendements	entendement	ADJ
,	,	PUNCT
c'	ce	PRON
est	est	ADV
-	-	ADV
à	à	ADV
-	-	ADV
dire	dire	ADV
à	à	ADP
préparer	préparer	VERB
des	un	DET
géomètres	géomètre	NOUN
.	.	PUNCT
Mais	mais	CCONJ
la	le	DET
ligne	ligne	NOUN
d'	de	ADP
évolution	évolution	NOUN
qui	qui	PRON
aboutit	aboutir	VERB
à	à	ADP
l'	le	DET
homme	homme	NOUN
n'	n'	ADV
est	être	AUX
pas	pas	ADV
la	le	DET
seule	seul	ADJ
.	.	PUNCT
Sur	sur	ADP
d'	d'	DET
autres	autre	ADJ
voies	voie	NOUN
,	,	PUNCT
divergentes	divergente	NOUN
,	,	PUNCT
se	se	PRON
sont	être	AUX
développées	développer	VERB
d'	d'	DET
autres	autre	ADJ
formes	forme	NOUN
de	de	ADP
la	le	DET
conscience	conscience	NOUN
,	,	PUNCT
qui	qui	PRON
n'	n'	ADV
ont	avoir	AUX
pas	pas	ADV
su	savoir	VERB
se	se	PRON
libérer	libérer	VERB
des	un	DET
contraintes	contrainte	NOUN
extérieures	extérieur	ADJ
ni	ni	CCONJ
se	se	PRON
reconquérir	reconquérir	VERB
sur	sur	ADP
elles	lui	PRON
-	-	PUNCT
mêmes	même	PRON
,	,	PUNCT
comme	comme	SCONJ
